	example_idx	FW_iter	gap_FW	success	first_success	target	pred	stop_cond	adv_target	stepsize	l_inf	mdlLoss	targeted_success	rule
140	10	7	1.4289559125900269	False	False	8	8		2	0.25	0.005000054836273193	4.254968643188477	False	decay
141	10	8	1.5019711256027222	False	False	8	8		2	0.2222222222222222	0.005000054836273193	3.8310630321502686	False	decay
142	10	9	1.3233202695846558	False	False	8	8		2	0.2	0.005000054836273193	3.2586991786956787	False	decay
143	10	10	1.2308986186981201	False	False	8	8		2	0.18181818181818182	0.005000054836273193	2.872976779937744	False	decay
144	10	11	1.1999167203903198	False	False	8	8		2	0.16666666666666666	0.005000054836273193	2.487119436264038	False	decay
145	10	12	0.9926310777664185	False	False	8	8		2	0.15384615384615385	0.005000054836273193	2.1645078659057617	False	decay
146	10	13	1.0889803171157837	False	False	8	8		2	0.14285714285714285	0.005000054836273193	2.0788114070892334	False	decay
147	10	14	0.7707875967025757	False	False	8	8		2	0.13333333333333333	0.005000054836273193	1.8115767240524292	False	decay
148	10	15	0.7243008613586426	False	False	8	8		2	0.125	0.005000054836273193	1.6239228248596191	False	decay
149	10	16	0.6300352811813354	False	False	8	8		2	0.11764705882352941	0.005000054836273193	1.458551287651062	False	decay
150	10	17	0.6820011138916016	False	False	8	8		2	0.1111111111111111	0.005000054836273193	1.3218445777893066	False	decay
151	10	18	0.5915157794952393	False	False	8	8		2	0.10526315789473684	0.005000054836273193	1.2247302532196045	False	decay
152	10	19	0.5558112859725952	False	False	8	8		2	0.1	0.005000054836273193	1.1179624795913696	False	decay
153	10	20	0.44435009360313416	False	False	8	8	max_iter	2	0.09523809523809523	0.005000054836273193	1.0126947164535522	False	decay
154	11	1	6.094302177429199	False	False	7	7		1	1.0	0.005000025033950806	24.092700958251953	False	decay
155	11	2	2.4335310459136963	False	False	7	7		1	0.6666666666666666	0.005000025033950806	9.981651306152344	False	decay
156	11	3	3.037567138671875	True	True	7	5		1	0.5	0.005000054836273193	7.953042984008789	False	decay
157	11	4	2.9708943367004395	False	False	7	7		1	0.4	0.005000054836273193	6.300891399383545	False	decay
158	11	5	4.132658004760742	False	False	7	7		1	0.3333333333333333	0.005000054836273193	8.770176887512207	False	decay
159	11	6	2.379406452178955	False	False	7	7		1	0.2857142857142857	0.005000054836273193	4.5882744789123535	False	decay
160	11	7	1.619019865989685	False	False	7	7		1	0.25	0.005000054836273193	2.8868322372436523	False	decay
161	11	8	2.204456329345703	False	False	7	7		1	0.2222222222222222	0.005000054836273193	2.499528408050537	False	decay
162	11	9	1.2141046524047852	False	False	7	7		1	0.2	0.005000054836273193	1.5404969453811646	False	decay
163	11	10	2.203955888748169	True	False	7	1		1	0.18181818181818182	0.005000054836273193	1.6359272003173828	True	decay
164	11	11	0.895057201385498	True	False	7	1		1	0.16666666666666666	0.005000054836273193	0.9689591526985168	True	decay
165	11	12	0.8574246168136597	True	False	7	1		1	0.15384615384615385	0.005000054836273193	0.7193676233291626	True	decay
166	11	13	0.7607536911964417	True	False	7	1		1	0.14285714285714285	0.005000054836273193	0.6831764578819275	True	decay
167	11	14	0.6185332536697388	True	False	7	1		1	0.13333333333333333	0.005000054836273193	0.5391701459884644	True	decay
168	11	15	0.4399406909942627	True	False	7	1		1	0.125	0.005000054836273193	0.4400706887245178	True	decay
169	11	16	0.6212312579154968	True	False	7	1		1	0.11764705882352941	0.005000054836273193	0.45478150248527527	True	decay
170	11	17	0.2945234775543213	True	False	7	1		1	0.1111111111111111	0.005000054836273193	0.3376278877258301	True	decay
171	11	18	0.25830909609794617	True	False	7	1		1	0.10526315789473684	0.005000054836273193	0.276332825422287	True	decay
172	11	19	0.1737234741449356	True	False	7	1		1	0.1	0.005000054836273193	0.2184045910835266	True	decay
173	11	20	0.1472635269165039	True	False	7	1	max_iter	1	0.09523809523809523	0.005000054836273193	0.18234921991825104	True	decay
174	12	1	2.642826795578003	False	False	8	8		9	1.0	0.005000025033950806	16.641313552856445	False	decay
175	12	2	1.8877761363983154	False	False	8	8		9	0.6666666666666666	0.005000025033950806	7.357101917266846	False	decay
176	12	3	1.8209391832351685	False	False	8	8		9	0.5	0.005000054836273193	6.7522172927856445	False	decay
177	12	4	1.1379166841506958	False	False	8	8		9	0.4	0.005000054836273193	5.099249362945557	False	decay
178	12	5	1.0093075037002563	False	False	8	8		9	0.3333333333333333	0.005000054836273193	4.004359722137451	False	decay
179	12	6	0.9310775995254517	False	False	8	8		9	0.2857142857142857	0.005000054836273193	3.500318765640259	False	decay
180	12	7	0.709238588809967	False	False	8	8		9	0.25	0.005000054836273193	3.059723138809204	False	decay
181	12	8	0.6873797178268433	False	False	8	8		9	0.2222222222222222	0.005000054836273193	2.682081937789917	False	decay
182	12	9	0.6537708640098572	False	False	8	8		9	0.2	0.005000054836273193	2.4919774532318115	False	decay
183	12	10	0.5800638198852539	False	False	8	8		9	0.18181818181818182	0.005000054836273193	2.226881980895996	False	decay
184	12	11	0.5089860558509827	False	False	8	8		9	0.16666666666666666	0.005000054836273193	2.1132445335388184	False	decay
185	12	12	0.44445016980171204	False	False	8	8		9	0.15384615384615385	0.005000054836273193	1.9111113548278809	False	decay
186	12	13	0.4672422707080841	False	False	8	8		9	0.14285714285714285	0.005000054836273193	1.8659582138061523	False	decay
187	12	14	0.37188082933425903	False	False	8	8		9	0.13333333333333333	0.005000054836273193	1.7690229415893555	False	decay
188	12	15	0.3367347717285156	False	False	8	8		9	0.125	0.005000054836273193	1.6862072944641113	False	decay
189	12	16	0.3200555443763733	False	False	8	8		9	0.11764705882352941	0.005000054836273193	1.6019651889801025	False	decay
190	12	17	0.3366926610469818	False	False	8	8		9	0.1111111111111111	0.005000054836273193	1.5704588890075684	False	decay
191	12	18	0.3189680576324463	False	False	8	8		9	0.10526315789473684	0.005000054836273193	1.531522274017334	False	decay
192	12	19	0.33062171936035156	False	False	8	8		9	0.1	0.005000054836273193	1.5073237419128418	False	decay
193	12	20	0.3057814836502075	False	False	8	8	max_iter	9	0.09523809523809523	0.005000054836273193	1.4794557094573975	False	decay
194	13	1	3.1197218894958496	True	True	1	9		0	1.0	0.005000025033950806	13.204398155212402	False	decay
