epsilon,attack_type,norm_type,targeted,step_rule,accuracy,total_queries,avg_queries,cpu_time,gap_FW,gap_AS
0.01,fw_away,-1,True,decay,1.0,2002,1001.74,0.011609375,0.46905890107154846,-0.4444040358066559
0.01,fw_away,-1,True,amjo,1.0,2002,1001.74,0.01596875,0.4704819321632385,-0.4679202437400818
0.01,fw_away,-1,True,ls,1.0,2002,1001.74,0.1009140625,0.4704819321632385,-0.4679202437400818
0.01,fw_away,-1,False,lipschitz_mnist,0.99,2002,1001.74,0.01075,0.3224893808364868,-0.3177168071269989
0.01,fw_away,-1,False,decay,0.99,2002,1001.74,0.0124375,0.31791648268699646,-0.2973583936691284
0.01,fw_away,-1,False,amjo,0.99,2002,1001.74,0.0161640625,0.3224893808364868,-0.3177168071269989
0.01,fw_away,-1,False,ls,0.99,2002,1001.74,0.1356484375,0.3224893808364868,-0.3177168071269989
0.01,fw_away,1,True,lipschitz_mnist,0.09,2002,1001.74,0.0103125,-0.001171306474134326,0.001171306474134326
0.01,fw_away,1,True,decay,0.09,2002,1001.74,0.010640625,-0.0005921422271057963,0.0005921422271057963
0.01,fw_away,1,True,amjo,0.09,2002,1001.74,0.0312578125,-0.0009104165947064757,3.6930083524566726e-07
0.01,fw_away,1,True,ls,0.25,2002,1001.74,0.143,0.017553985118865967,0.07269924879074097
0.01,fw_away,1,False,lipschitz_mnist,0.09,2002,1001.74,0.0117734375,-5.630151281366125e-05,-2.8809545894736832e-12
0.01,fw_away,1,False,decay,0.09,2002,1001.74,0.01240625,-2.971256253658794e-05,-1.076696025847923e-05
0.01,fw_away,1,False,amjo,0.09,2002,1001.74,0.0338203125,-2.971256253658794e-05,-1.076696025847923e-05
0.01,fw_away,1,False,ls,0.09,2002,1001.74,0.1592265625,-3.641591683845036e-05,6.393772309820633e-06
0.01,fw_away,2,True,lipschitz_mnist,1.0,2002,1001.74,0.0105625,0.0619434118270874,-0.06133699789643288
0.01,fw_away,2,True,decay,1.0,2002,1001.74,0.0118984375,0.061701223254203796,-0.05789349600672722
0.01,fw_away,2,True,amjo,1.0,2002,1001.74,0.0152578125,0.0619434118270874,-0.06133699789643288
0.01,fw_away,2,True,ls,1.0,2002,1001.74,0.134515625,0.0619434118270874,-0.06133699789643288
0.01,fw_away,2,False,lipschitz_mnist,1.0,2002,1001.74,0.01071875,0.045730769634246826,-0.0449683740735054
0.01,fw_away,2,False,decay,1.0,2002,1001.74,0.0117734375,0.04541782662272453,-0.04296325519680977
0.01,fw_away,2,False,amjo,1.0,2002,1001.74,0.01684375,0.045730769634246826,-0.0449683740735054
0.01,fw_away,2,False,ls,1.0,2002,1001.74,0.1498671875,0.045730769634246826,-0.0449683740735054
0.01,fw_pair,-1,True,lipschitz_mnist,1.0,2002,1001.74,0.0113828125,0.4704819321632385,-0.4679202437400818
0.01,fw_pair,-1,True,decay,1.0,2002,1001.74,0.0116640625,0.4687806963920593,-0.466722309589386
0.01,fw_pair,-1,True,amjo,1.0,2002,1001.74,0.023140625,0.4681536853313446,-0.4669782817363739
0.01,fw_pair,-1,True,ls,1.0,2002,1001.74,0.15128125,0.4686514139175415,-0.4671936333179474
0.01,fw_pair,-1,False,lipschitz_mnist,0.99,1984,992.7421796165489,0.011691157921291625,0.3224893808364868,-0.3177168071269989
0.01,fw_pair,-1,False,decay,0.99,1984,992.7421796165489,0.012542570635721494,0.31929031014442444,-0.3171628713607788
0.01,fw_pair,-1,False,amjo,0.99,1984,992.7421796165489,0.024564833501513623,0.32010242342948914,-0.31846463680267334
0.01,fw_pair,-1,False,ls,0.99,1971,986.2371762315896,0.16148743016759776,0.31931301951408386,-0.31692177057266235
