epsilon,attack_type,norm_type,targeted,step_rule,accuracy,total_queries
0.05,fw_pair,1,False,lipschitz_mnist,0.09,202
0.05,fw_pair,1,False,decay,0.09,202
0.05,fw_pair,1,False,amjo,0.09,202
0.05,fw_pair,1,False,ls,0.09,202
0.05,fw_pair,2,True,lipschitz_mnist,1.0,2002
0.05,fw_pair,2,True,decay,1.0,2002
0.05,fw_pair,2,True,amjo,1.0,2002
0.05,fw_pair,2,True,ls,1.0,2002
0.05,fw_pair,2,False,lipschitz_mnist,0.99,1984
0.05,fw_pair,2,False,decay,0.99,1984
0.05,fw_pair,2,False,amjo,0.99,1984
0.05,fw_pair,2,False,ls,0.99,1984
0.1,fw,-1,True,lipschitz_mnist,0.94,2002
0.1,fw,-1,True,decay,0.89,1954
0.1,fw,-1,True,amjo,0.9,1954
0.1,fw,-1,True,ls,0.91,1988
0.1,fw,-1,False,lipschitz_mnist,0.78,1841
0.1,fw,-1,False,decay,0.68,1713
0.1,fw,-1,False,amjo,0.73,1712
0.1,fw,-1,False,ls,0.74,1814
0.1,fw,1,True,lipschitz_mnist,0.09,202
0.1,fw,1,True,decay,0.09,202
0.1,fw,1,True,amjo,0.09,202
0.1,fw,1,True,ls,0.24,206
0.1,fw,1,False,lipschitz_mnist,0.09,202
0.1,fw,1,False,decay,0.09,202
0.1,fw,1,False,amjo,0.09,202
0.1,fw,1,False,ls,0.09,202
0.1,fw,2,True,lipschitz_mnist,0.99,2002
0.1,fw,2,True,decay,0.99,2002
0.1,fw,2,True,amjo,0.99,2002
0.1,fw,2,True,ls,0.99,2002
0.1,fw,2,False,lipschitz_mnist,0.96,1984
0.1,fw,2,False,decay,0.96,1975
0.1,fw,2,False,amjo,0.96,1984
0.1,fw,2,False,ls,0.96,1984
0.1,fw_away,-1,True,lipschitz_mnist,0.94,2002
0.1,fw_away,-1,True,decay,0.89,2002
0.1,fw_away,-1,True,amjo,0.9,2002
0.1,fw_away,-1,True,ls,0.91,2002
0.1,fw_away,-1,False,lipschitz_mnist,0.78,2002
0.1,fw_away,-1,False,decay,0.68,2002
0.1,fw_away,-1,False,amjo,0.73,2002
0.1,fw_away,-1,False,ls,0.74,2002
0.1,fw_away,1,True,lipschitz_mnist,0.09,2002
0.1,fw_away,1,True,decay,0.09,2002
0.1,fw_away,1,True,amjo,0.09,2002
0.1,fw_away,1,True,ls,0.26,2002
0.1,fw_away,1,False,lipschitz_mnist,0.09,2002
0.1,fw_away,1,False,decay,0.09,2002
0.1,fw_away,1,False,amjo,0.09,2002
0.1,fw_away,1,False,ls,0.09,2002
0.1,fw_away,2,True,lipschitz_mnist,0.99,2002
0.1,fw_away,2,True,decay,0.99,2002
0.1,fw_away,2,True,amjo,0.99,2002
